impl,work,threads,nkeys,keyspace,ops,rep,seconds,ops_per_sec
coarse,lookup,1,10000,20000,2000000,0,0.0694316,2.88053e+07
coarse,lookup,1,10000,20000,2000000,1,0.0709552,2.81868e+07
coarse,lookup,1,10000,20000,2000000,2,0.07202,2.77701e+07
striped,lookup,1,10000,20000,2000000,0,0.081149,2.4646e+07
striped,lookup,1,10000,20000,2000000,1,0.0745318,2.68342e+07
striped,lookup,1,10000,20000,2000000,2,0.0761328,2.62699e+07
coarse,lookup,2,10000,20000,2000000,0,0.175957,1.13664e+07
coarse,lookup,2,10000,20000,2000000,1,0.266689,7.49937e+06
coarse,lookup,2,10000,20000,2000000,2,0.164721,1.21417e+07
striped,lookup,2,10000,20000,2000000,0,0.0934659,2.13982e+07
striped,lookup,2,10000,20000,2000000,1,0.0997607,2.0048e+07
striped,lookup,2,10000,20000,2000000,2,0.0975638,2.04994e+07
coarse,lookup,4,10000,20000,2000000,0,0.347957,5.74783e+06
coarse,lookup,4,10000,20000,2000000,1,0.309341,6.46535e+06
coarse,lookup,4,10000,20000,2000000,2,0.288388,6.93509e+06
striped,lookup,4,10000,20000,2000000,0,0.0829426,2.41131e+07
striped,lookup,4,10000,20000,2000000,1,0.0831962,2.40396e+07
striped,lookup,4,10000,20000,2000000,2,0.0822281,2.43226e+07
coarse,lookup,8,10000,20000,2000000,0,0.3752,5.33049e+06
coarse,lookup,8,10000,20000,2000000,1,0.39249,5.09567e+06
coarse,lookup,8,10000,20000,2000000,2,0.373019,5.36165e+06
striped,lookup,8,10000,20000,2000000,0,0.0870935,2.29638e+07
striped,lookup,8,10000,20000,2000000,1,0.0867819,2.30463e+07
striped,lookup,8,10000,20000,2000000,2,0.0862606,2.31855e+07
coarse,lookup,16,10000,20000,2000000,0,0.471976,4.2375e+06
coarse,lookup,16,10000,20000,2000000,1,0.571933,3.49691e+06
coarse,lookup,16,10000,20000,2000000,2,0.782006,2.55752e+06
striped,lookup,16,10000,20000,2000000,0,0.0828295,2.4146e+07
striped,lookup,16,10000,20000,2000000,1,0.0804351,2.48648e+07
striped,lookup,16,10000,20000,2000000,2,0.0794422,2.51755e+07
coarse,insert,1,10000,20000,2000000,0,0.105133,1.90235e+07
coarse,insert,1,10000,20000,2000000,1,0.101252,1.97528e+07
coarse,insert,1,10000,20000,2000000,2,0.0794435,2.51751e+07
striped,insert,1,10000,20000,2000000,0,0.0871403,2.29515e+07
striped,insert,1,10000,20000,2000000,1,0.0901808,2.21777e+07
striped,insert,1,10000,20000,2000000,2,0.0889162,2.24931e+07
coarse,insert,2,10000,20000,2000000,0,0.336079,5.95098e+06
coarse,insert,2,10000,20000,2000000,1,0.384639,5.19968e+06
coarse,insert,2,10000,20000,2000000,2,0.387428,5.16224e+06
striped,insert,2,10000,20000,2000000,0,0.125577,1.59265e+07
striped,insert,2,10000,20000,2000000,1,0.115022,1.7388e+07
striped,insert,2,10000,20000,2000000,2,0.118807,1.6834e+07
