impl,work,threads,nkeys,speedup
coarse,insert,1,10000,1
striped,insert,1,10000,1
coarse,insert,2,10000,0.255082766
striped,insert,2,10000,0.7415970767
coarse,insert,4,10000,0.1400332127
striped,insert,4,10000,0.6405667953
coarse,insert,8,10000,0.1220306358
striped,insert,8,10000,0.7821990675
coarse,insert,16,10000,0.08221977939
striped,insert,16,10000,0.6739862442
coarse,insert,1,100000,1
striped,insert,1,100000,1
coarse,insert,2,100000,0.5132168096
striped,insert,2,100000,1.721858093
coarse,insert,4,100000,0.3283567999
striped,insert,4,100000,1.822738739
coarse,insert,8,100000,0.2282000448
striped,insert,8,100000,1.272024095
coarse,insert,16,100000,0.1916427021
striped,insert,16,100000,0.9363766697
coarse,insert,1,1000000,1
striped,insert,1,1000000,1
coarse,insert,2,1000000,0.5408876705
striped,insert,2,1000000,1.32376604
coarse,insert,4,1000000,0.3395412168
striped,insert,4,1000000,1.394835313
coarse,insert,8,1000000,0.2994113944
striped,insert,8,1000000,1.180552486
coarse,insert,16,1000000,0.2364898877
striped,insert,16,1000000,1.068748113
coarse,lookup,1,10000,1
striped,lookup,1,10000,1
coarse,lookup,2,10000,0.3658171921
striped,lookup,2,10000,0.7967269495
coarse,lookup,4,10000,0.2259057693
striped,lookup,4,10000,0.9321570004
coarse,lookup,8,10000,0.186260031
striped,lookup,8,10000,0.889974418
coarse,lookup,16,10000,0.1214212231
striped,lookup,16,10000,0.954163403
coarse,lookup,1,100000,1
striped,lookup,1,100000,1
coarse,lookup,2,100000,0.5799331526
striped,lookup,2,100000,1.831786687
coarse,lookup,4,100000,0.4659961427
striped,lookup,4,100000,2.707700157
coarse,lookup,8,100000,0.3271914417
striped,lookup,8,100000,2.740916849
coarse,lookup,16,100000,0.2546441393
striped,lookup,16,100000,3.114808415
coarse,lookup,1,1000000,1
striped,lookup,1,1000000,1
coarse,lookup,2,1000000,0.7165110303
striped,lookup,2,1000000,1.702684658
coarse,lookup,4,1000000,0.4659089234
striped,lookup,4,1000000,2.45785911
coarse,lookup,8,1000000,0.3897440721
striped,lookup,8,1000000,3.157064371
coarse,lookup,16,1000000,0.3275833385
striped,lookup,16,1000000,3.800562472
coarse,mixed,1,10000,1
striped,mixed,1,10000,1
coarse,mixed,2,10000,0.2757327382
striped,mixed,2,10000,0.7679207164
coarse,mixed,4,10000,0.1633484995
striped,mixed,4,10000,0.8580532585
coarse,mixed,8,10000,0.1384073544
striped,mixed,8,10000,0.7899740648
coarse,mixed,16,10000,0.07565759584
striped,mixed,16,10000,0.7034100712
coarse,mixed,1,100000,1
striped,mixed,1,100000,1
coarse,mixed,2,100000,0.4959695413
striped,mixed,2,100000,1.52233606
coarse,mixed,4,100000,0.3963647694
striped,mixed,4,100000,1.739225251
coarse,mixed,8,100000,0.3248687804
striped,mixed,8,100000,1.741241944
coarse,mixed,16,100000,0.2632420797
striped,mixed,16,100000,1.836534634
coarse,mixed,1,1000000,1
striped,mixed,1,1000000,1
coarse,mixed,2,1000000,0.5974764421
striped,mixed,2,1000000,1.628161829
coarse,mixed,4,1000000,0.3860222701
striped,mixed,4,1000000,2.169401905
coarse,mixed,8,1000000,0.3554999785
striped,mixed,8,1000000,2.459075075
coarse,mixed,16,1000000,0.2811781589
striped,mixed,16,1000000,2.625400469
